Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_dorsasl_mixed,_45,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_46,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_47,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_48,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_49,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_5,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_50,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_51,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_52,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_53,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_54,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_55,classification_results_test.xlsx,0.4500
fv_dorsasl_mixed,_56,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_57,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_58,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_59,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_6,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_60,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_61,classification_results_test.xlsx,0.4250
fv_dorsasl_mixed,_62,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_63,classification_results_test.xlsx,0.6250
fv_dorsasl_mixed,_64,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_65,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_66,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_67,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_68,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_69,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_7,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_70,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_71,classification_results_test.xlsx,0.4000
fv_dorsasl_mixed,_72,classification_results_test.xlsx,0.4000
fv_dorsasl_mixed,_73,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_74,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_75,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_76,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_77,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_78,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_79,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_8,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_80,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_81,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_82,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_83,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_84,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_85,classification_results_test.xlsx,0.6250
fv_dorsasl_mixed,_86,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_87,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_88,classification_results_test.xlsx,0.6250
fv_dorsasl_mixed,_89,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_9,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_90,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_91,classification_results_test.xlsx,0.4000
fv_dorsasl_mixed,_92,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_93,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_94,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_95,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_96,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_97,classification_results_test.xlsx,0.4250
fv_dorsasl_mixed,_98,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_99,classification_results_test.xlsx,0.4750
fv_ventral,_1,classification_results_test.xlsx,0.9250
fv_ventral,_10,classification_results_test.xlsx,0.9000
fv_ventral,_100,classification_results_test.xlsx,0.9250
